date,draw_no,n1,n2,n3,n4,n5,bonus,numbers
2020-11-08,18,4,5,9,11,30,6,4 5 9 11 30
2020-11-11,19,18,22,26,28,33,1,18 22 26 28 33
2020-11-15,20,18,20,28,31,32,5,18 20 28 31 32
2020-11-18,21,6,8,27,31,32,10,6 8 27 31 32
2020-11-22,22,2,16,20,28,31,1,2 16 20 28 31
2020-11-25,23,1,7,16,21,22,12,1 7 16 21 22
2020-11-29,24,11,13,16,26,32,10,11 13 16 26 32
2020-12-02,25,4,9,10,13,33,12,4 9 10 13 33
2020-12-06,26,7,21,22,26,34,6,7 21 22 26 34
2020-12-09,27,11,17,20,28,29,14,11 17 20 28 29
2020-12-13,28,5,9,10,28,33,7,5 9 10 28 33
2020-12-16,29,2,12,14,22,30,6,2 12 14 22 30
2020-12-20,30,8,9,18,30,32,9,8 9 18 30 32
2020-12-23,31,2,11,25,28,33,1,2 11 25 28 33
2020-12-27,32,3,7,13,19,28,13,3 7 13 19 28
2020-12-30,33,15,16,18,25,31,14,15 16 18 25 31
2021-01-03,1,10,12,16,26,29,9,10 12 16 26 29
2021-01-06,2,10,14,23,30,34,8,10 14 23 30 34
2021-01-10,3,3,10,12,13,17,5,3 10 12 13 17
2021-01-13,4,17,19,24,32,34,1,17 19 24 32 34
2021-01-17,5,4,7,20,26,27,7,4 7 20 26 27
2021-01-20,6,18,19,27,32,34,3,18 19 27 32 34
2021-01-24,7,2,6,24,29,30,6,2 6 24 29 30
2021-01-27,8,6,12,14,24,30,4,6 12 14 24 30
2021-01-31,9,14,16,19,25,34,2,14 16 19 25 34
2021-02-03,10,2,3,7,11,15,4,2 3 7 11 15
2021-02-07,11,8,9,15,20,30,12,8 9 15 20 30
2021-02-10,12,9,21,22,25,31,14,9 21 22 25 31
2021-02-14,13,8,9,10,14,17,3,8 9 10 14 17
2021-02-17,14,7,11,22,24,31,7,7 11 22 24 31
2021-02-21,15,3,6,9,24,29,11,3 6 9 24 29
2021-02-24,16,2,17,27,32,34,9,2 17 27 32 34
2021-02-28,17,3,5,12,13,31,2,3 5 12 13 31
2021-03-03,18,11,20,21,22,34,1,11 20 21 22 34
2021-03-07,19,2,11,14,18,31,12,2 11 14 18 31
2021-03-10,20,22,28,29,30,32,7,22 28 29 30 32
2021-03-13,21,7,25,26,27,30,11,7 25 26 27 30
2021-03-14,21,2,7,14,18,30,9,2 7 14 18 30
2021-03-17,22,2,8,9,25,27,12,2 8 9 25 27
