date,draw_no,n1,n2,n3,n4,n5,n6,numbers
2021-04-15,45,4,9,37,43,45,54,4 9 37 43 45 54
2021-04-18,46,3,7,12,23,49,59,3 7 12 23 49 59
2021-04-20,47,2,16,18,39,45,50,2 16 18 39 45 50
2021-04-22,48,34,37,41,46,56,58,34 37 41 46 56 58
2021-04-25,49,5,11,18,40,47,59,5 11 18 40 47 59
2021-04-27,50,12,16,31,33,36,59,12 16 31 33 36 59
2021-04-29,51,16,30,35,36,46,59,16 30 35 36 46 59
2021-05-02,52,10,39,44,57,58,59,10 39 44 57 58 59
2021-05-04,53,2,27,36,38,40,56,2 27 36 38 40 56
2021-05-06,54,5,12,37,42,44,60,5 12 37 42 44 60
2021-05-09,55,7,29,48,53,56,58,7 29 48 53 56 58
2021-05-11,56,9,21,28,40,50,59,9 21 28 40 50 59
2021-05-13,57,2,7,13,20,24,32,2 7 13 20 24 32
2021-05-16,58,1,3,4,5,28,58,1 3 4 5 28 58
2021-05-18,59,20,28,40,43,52,55,20 28 40 43 52 55
2021-05-20,60,1,22,25,35,41,43,1 22 25 35 41 43
2021-05-23,61,10,29,35,44,47,59,10 29 35 44 47 59
2021-05-25,62,16,23,24,35,37,57,16 23 24 35 37 57
2021-05-27,63,12,27,36,40,47,53,12 27 36 40 47 53
2021-05-30,64,20,25,35,45,46,47,20 25 35 45 46 47
2021-06-01,65,8,9,20,27,31,55,8 9 20 27 31 55
2021-06-03,66,5,24,43,50,54,58,5 24 43 50 54 58
2021-06-06,67,4,16,29,32,34,46,4 16 29 32 34 46
2021-06-08,68,8,24,39,53,57,59,8 24 39 53 57 59
2021-06-10,69,10,18,28,32,42,47,10 18 28 32 42 47
2021-06-13,70,11,12,14,41,50,54,11 12 14 41 50 54
2021-06-15,71,1,9,25,27,39,55,1 9 25 27 39 55
2021-06-17,72,1,13,37,39,48,58,1 13 37 39 48 58
2021-06-20,73,5,6,9,12,38,44,5 6 9 12 38 44
2021-06-22,74,19,20,27,28,48,50,19 20 27 28 48 50
2021-06-24,75,4,14,17,23,51,60,4 14 17 23 51 60
2021-06-27,76,3,8,39,44,52,58,3 8 39 44 52 58
2021-06-29,77,5,13,14,17,34,48,5 13 14 17 34 48
2021-07-01,78,7,16,26,31,38,55,7 16 26 31 38 55
2021-07-04,79,7,14,22,36,54,60,7 14 22 36 54 60
2021-07-06,80,21,22,28,47,48,54,21 22 28 47 48 54
2021-07-08,81,4,7,10,19,47,55,4 7 10 19 47 55
2021-07-11,82,9,15,22,42,58,59,9 15 22 42 58 59
