date,draw_no,n1,n2,n3,n4,n5,n6,joker,super,numbers,bonus
2019-10-16,1262,1,4,6,35,40,47,,,1 4 6 35 40 47,
2019-10-19,1263,4,6,10,18,22,35,,,4 6 10 18 22 35,
2019-10-23,1264,7,17,28,30,36,41,,,7 17 28 30 36 41,
2019-10-26,1265,4,6,21,29,30,47,,,4 6 21 29 30 47,
2019-10-30,1266,7,16,21,31,36,46,,,7 16 21 31 36 46,
2019-11-02,1267,6,29,31,32,44,45,,,6 29 31 32 44 45,
2019-11-06,1268,8,17,18,20,29,44,,,8 17 18 20 29 44,
2019-11-09,1269,1,2,19,22,40,44,,,1 2 19 22 40 44,
2019-11-13,1270,3,12,13,26,31,33,,,3 12 13 26 31 33,
2019-11-16,1271,16,32,33,34,43,45,,,16 32 33 34 43 45,
2019-11-20,1272,9,25,30,34,35,42,,,9 25 30 34 35 42,
2019-11-23,1273,13,20,26,27,29,33,,,13 20 26 27 29 33,
2019-11-27,1274,8,17,19,23,35,40,,,8 17 19 23 35 40,
2019-11-30,1275,6,13,27,34,36,43,,,6 13 27 34 36 43,
2019-12-04,1276,4,5,9,19,32,39,,,4 5 9 19 32 39,
2019-12-07,1277,7,10,11,13,31,46,,,7 10 11 13 31 46,
2019-12-11,1278,7,12,19,24,25,32,,,7 12 19 24 25 32,
2019-12-14,1279,9,22,24,25,39,40,,,9 22 24 25 39 40,
2019-12-18,1280,1,6,13,24,25,37,,,1 6 13 24 25 37,
2019-12-21,1281,15,19,23,34,36,41,,,15 19 23 34 36 41,
2019-12-25,1282,3,15,39,40,43,46,,,3 15 39 40 43 46,
2019-12-28,1283,7,12,15,17,19,48,,,7 12 15 17 19 48,
2020-01-01,1284,13,25,32,33,34,49,,,13 25 32 33 34 49,
2020-01-02,40,5,20,22,49,55,73,74.0,0.0,5 20 22 49 55 73,74
2020-01-04,1285,3,12,17,20,41,47,,,3 12 17 20 41 47,
2020-01-08,1286,20,25,28,38,40,49,,,20 25 28 38 40 49,
2020-01-11,1287,9,15,17,34,35,38,,,9 15 17 34 35 38,
2020-01-15,1288,12,13,14,17,23,48,,,12 13 14 17 23 48,
2020-01-18,1289,14,37,41,42,43,48,,,14 37 41 42 43 48,
2020-01-22,1290,2,20,22,24,44,46,,,2 20 22 24 44 46,
2020-01-25,1291,9,10,17,22,23,26,,,9 10 17 22 23 26,
2020-01-29,1292,11,17,30,35,42,44,,,11 17 30 35 42 44,
2020-02-01,1293,10,11,16,17,42,46,,,10 11 16 17 42 46,
2020-02-05,1294,4,7,28,29,35,37,,,4 7 28 29 35 37,
2020-02-08,1295,7,14,16,22,39,42,,,7 14 16 22 39 42,
2020-02-12,1296,4,9,14,17,26,30,,,4 9 14 17 26 30,
2020-02-15,1297,5,15,24,27,30,34,,,5 15 24 27 30 34,
2020-02-19,1298,5,11,14,26,42,43,,,5 11 14 26 42 43,
2020-02-22,1299,18,19,26,39,40,45,,,18 19 26 39 40 45,
2020-02-26,1300,3,12,15,28,29,38,,,3 12 15 28 29 38,
2020-02-29,1301,1,7,11,24,26,33,,,1 7 11 24 26 33,
2020-03-04,1302,5,14,16,30,39,42,,,5 14 16 30 39 42,
2020-03-07,1303,7,10,15,23,31,35,,,7 10 15 23 31 35,
2020-03-11,1304,10,21,31,34,43,49,,,10 21 31 34 43 49,
2020-03-14,1305,2,6,15,17,19,33,,,2 6 15 17 19 33,
2020-03-18,1306,14,21,27,29,39,47,,,14 21 27 29 39 47,
2020-03-21,1307,2,7,15,29,40,48,,,2 7 15 29 40 48,
2020-03-25,1308,8,19,31,32,39,46,,,8 19 31 32 39 46,
2020-03-28,1309,2,17,23,27,37,44,,,2 17 23 27 37 44,
2020-04-01,1310,4,10,15,23,30,31,,,4 10 15 23 30 31,
2020-04-04,1311,5,14,25,27,46,49,,,5 14 25 27 46 49,
2020-04-08,1312,5,11,19,20,28,46,,,5 11 19 20 28 46,
2020-04-11,1313,6,22,25,28,32,48,,,6 22 25 28 32 48,
2020-04-15,1314,9,26,34,44,46,49,,,9 26 34 44 46 49,
2020-04-18,1315,4,10,19,38,39,45,,,4 10 19 38 39 45,
2020-04-22,1316,5,9,10,27,35,45,,,5 9 10 27 35 45,
2020-04-25,1317,2,14,25,31,42,49,,,2 14 25 31 42 49,
